title,price,image,rating,reviews,url,colours,colour,sizes,size,images,stock_info,timestamp
"ToYBULK Teddy Bear, Teddy Bear 5 feet for Girls, Teddy Bear for Girls, Teddy Bear 5 feet, Teddy Bear for Girls 5 feet, Teddy Bear for Girls 5 feet (5 Feet, Brown)","₹1,649.99",https://m.media-amazon.com/images/I/81n+8OBiWHL._SL1500_.jpg,4.2 ,704,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTY4MTI1NTY1ODc2NjI5OjE3MjQ0MTEyMDc6c3BfYXRmOjMwMDE3ODc5NzkxODMzMjo6MDo6&url=%2FToYBULK-Giant-Brown-Teddy-5-Feet%2Fdp%2FB07R78J4JK%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.WUcBD7wDuR_pP3RJalGKlV4t4yzH6iB0OvtpHq2uhOUac-VQWsDnFsQIdvmEACSQLgae4Qo8Y3VdlTM7hKCGQ7GprJFbCK-3lRsBZNnUkYI5X1QWzivsRBvQtlucw3oWBroB2KRLEzx6ybNZGWOlY_soRw-k5CakWqXZ3Nn-wSpWPFLhCzUlU4aHm7lubqLPOYSyt2pvQeGSnaIVY_uLCER6xxsCVv3a8f8KFMEFj62RwkwSrBHXFO02IElGcKyQ_ZuOBNLV0Vfe41bk3GA3IFxBtENi0n88nNV3qPnp6mA.iiPpcRFS8JmLXdv7YMIMOz390WSSFDL0Wmm1YovaO20%26dib_tag%3Dse%26keywords%3Dteddy%2Bbear%26qid%3D1724411207%26refinements%3Dp_72%253A1318476031%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Beige ~|~ Black ~|~ Brown ~|~ Chocolate ~|~ Green ~|~ Panda ~|~ Pink ~|~ Purple ~|~ Red ~|~ Sky-Blue ~|~ SkyBlue ~|~ Yellow,Brown,3 Feet ~|~ 4 Feet ~|~ 4 Feet Cap ~|~ 5 Feet ~|~ 6 Feet ~|~ 6.5 Feet ~|~ 7 Feet,0,"['https://m.media-amazon.com/images/I/510TqKTaUiL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51V4HLCYKBL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/418c3Z90hXL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51MzF6mvy3L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/61RgcWQlzAL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41astagxreL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51nVICWUNGL._SL1500_.jpg']",In stock,2024-08-23T11:07:25Z
"HUG 'n' FEEL SOFT TOYS Rainbow Soft toy Lovable Huggable Cute Teddy Bear Plush toy Grandparents Best for Diwali, Baby Shower, Birthday, Raksha Bandhan, Housewarming (30cm multicolor)",₹284.00,https://m.media-amazon.com/images/I/51Hhfge4F3L._SX300_SY300_QL70_FMwebp_.jpg,4.1 ,28521,https://www.amazon.in/HUG-FEEL-SOFT-TOYS-Grandparents/dp/B0D47N32ZG?th=1,2 feet panda ~|~ 3 feet (Cream Teddy) ~|~ 3 feet panda ~|~ 30cm_new_unicorn ~|~ 5 feet panda ~|~ 6 feet panda ~|~ Avocado Pillow ~|~ BROWN ~|~ Blue ~|~ Brown ~|~ Coffee ~|~ Cream ~|~ Flying Unicorn ~|~ Panda Pillow ~|~ Pink ~|~ Purple ~|~ Rainbow ~|~ Red ~|~ Yellow ~|~ white,Rainbow,2 Feet ~|~ 2 feet Teddy ~|~ 3 Feet ~|~ 3 Feet Teddy ~|~ 4 Feet ~|~ 5 Feet ~|~ 6 Feet ~|~ 18CM ~|~ 30 cm Soft Toys ~|~ 30 cm Unicorn ~|~ 30CM ~|~ 30cm ~|~ 30 x 25 x 50 Centimeters ~|~ 75 cm UNICORN ~|~ 100 cm ~|~ HEAD PILLOW ~|~ Panda,0,"['https://m.media-amazon.com/images/I/51Hhfge4F3L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/5163Zixe2wL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51-uq+U1wVL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51AkqxZJf1L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51x7eB1K8PL._SL1500_.jpg']",In stock,2024-08-23T11:07:25Z
Babique Penguin Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls 28 cm (Black),₹179.00,https://m.media-amazon.com/images/I/518GrVDJJqL._SL1001_.jpg,4.2 ,790,https://www.amazon.in/Babique-Penguin-Stuffed-Plush-Birthday/dp/B08LTG4LN2?th=1,Penguin Black,Penguin Black,28 Cm,0,"['https://m.media-amazon.com/images/I/41NalzOui8L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51h3yMKcZBL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/31Ld6qXGT1L._SL1500_.jpg']",In stock,2024-08-23T11:07:43Z
Mirada Stuffed Plush Animal Cute Pineapple Sitting Ribbon Teddy Bear Soft Toy - 32cm,₹539.00,https://m.media-amazon.com/images/I/81vYJulSzYL._SL1500_.jpg,4.1 ,6,https://www.amazon.in/Mirada-Cuddly-Plush-Sitting-Teddy/dp/B08K4QRKQP?th=1,,,,0,"['https://m.media-amazon.com/images/I/41P4H5o74sL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41POsN4iSJL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41Ad1g9rhfL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/317XjkrJAML._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41CJWovC6rL._SL1500_.jpg']",Only 1 left ,2024-08-23T11:07:57Z
"HUG 'n' FEEL SOFT TOYS 4 Feet Cream Giant Teddy Bear Soft, Plush, And Cuddly Stuffed Animal For Kids, Birthdays, Anniversaries, Valentine's Day, And Special Occasions Large Huggable","₹1,199.00",https://m.media-amazon.com/images/I/61-gmZCpffL._SL1500_.jpg,4.1 ,28521,https://www.amazon.in/Birthdays-Anniversaries-Valentines-Occasions-Huggable/dp/B07CXK7HHZ?th=1,2 feet panda ~|~ 3 feet (Cream Teddy) ~|~ 3 feet panda ~|~ 30cm_new_unicorn ~|~ 5 feet panda ~|~ 6 feet panda ~|~ Avocado Pillow ~|~ BROWN ~|~ Blue ~|~ Brown ~|~ Coffee ~|~ Cream ~|~ Flying Unicorn ~|~ Panda Pillow ~|~ Pink ~|~ Purple ~|~ Rainbow ~|~ Red ~|~ Yellow ~|~ white,Cream,2 Feet ~|~ 2 feet Teddy ~|~ 3 Feet ~|~ 3 Feet Teddy ~|~ 4 Feet ~|~ 5 Feet ~|~ 6 Feet ~|~ 18CM ~|~ 30 cm Soft Toys ~|~ 30 cm Unicorn ~|~ 30CM ~|~ 30cm ~|~ 30 x 25 x 50 Centimeters ~|~ 75 cm UNICORN ~|~ 100 cm ~|~ HEAD PILLOW ~|~ Panda,0,"['https://m.media-amazon.com/images/I/41PK7auI5BL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51z++rRTpUL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41joO1uP39L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41eCZpm4YQL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41mckJuPz+L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51H8MdrDQjL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41h2ACfeO9L._SL1500_.jpg']",In stock,2024-08-23T11:08:24Z
"ToYBULK Teddy Bear, Teddy Bear 5 feet for Girls, Teddy Bear for Girls, Teddy Bear 5 feet, Teddy Bear for Girls 5 feet, Teddy Bear for Girls 5 feet (5 Feet, Brown)","₹1,649.99",https://m.media-amazon.com/images/I/81n+8OBiWHL._SL1500_.jpg,4.2 ,704,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDUzNTU5OTkxMDM2Mzk0OjE3MjQ0MTEyNzY6c3BfYXRmX25leHQ6MzAwMTc4Nzk3OTE4MzMyOjowOjo&url=%2FToYBULK-Giant-Brown-Teddy-5-Feet%2Fdp%2FB07R78J4JK%2Fref%3Dsr_1_145_sspa%3Fdib%3DeyJ2IjoiMSJ9.xgAxna4oMaYs6-8JDo3xHDy7RGVGKmS06QL4b2Fpv94gtT_JWwOlwksKGXDrAsWNsaoWPZ7yW55Mwg-hZVvcyyDBpYOQ67NopPEFR-9D1qfWAvlCV9ICk4ikCDWN4GrkUfxvfObvSgGNCKreFD3I6WOy9sEXt-kVf_jN_lXT5PEnVac9voBG26OqGClbikTEOMG4_ftd8CNWsOET4AIJ5hvcBi-Kvi5ihVNaAoD9V3grmVzy7m-blaZaKGiU2WGajEmphAaSUQXlJStPEBl3XNHZ-JLSa2ZoPeArc6Gpp-A.8OCHs1nc4CbttxJBgStAM4XzAMhViqnlLbLbNDlpvt8%26dib_tag%3Dse%26keywords%3Dteddy%2Bbear%26qid%3D1724411276%26refinements%3Dp_72%253A1318476031%26sr%3D8-145-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Beige ~|~ Black ~|~ Brown ~|~ Chocolate ~|~ Green ~|~ Panda ~|~ Pink ~|~ Purple ~|~ Red ~|~ Sky-Blue ~|~ SkyBlue ~|~ Yellow,Brown,3 Feet ~|~ 4 Feet ~|~ 4 Feet Cap ~|~ 5 Feet ~|~ 6 Feet ~|~ 6.5 Feet ~|~ 7 Feet,0,"['https://m.media-amazon.com/images/I/510TqKTaUiL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51V4HLCYKBL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/418c3Z90hXL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51MzF6mvy3L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/61RgcWQlzAL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41astagxreL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51nVICWUNGL._SL1500_.jpg']",In stock,2024-08-23T11:08:27Z
CLICK4DEAL for Kids for Birthday Gift | Teddy Bear | Stuffed Plush Toys | Hypoallergenic | Bpa Free | Children Friendly chimmi(Size 30 cm| Color Yellow),₹499.00,https://m.media-amazon.com/images/I/41RvfmPTyxL._SX300_SY300_QL70_FMwebp_.jpg,4.1 ,4,https://www.amazon.in/CLICK4DEAL-Birthday-Hypoallergenic-Children-Friendly/dp/B0CW1NYRB4?th=1,Black ~|~ Blue ~|~ Brown ~|~ Green ~|~ Grey ~|~ Multicolor ~|~ Pink ~|~ Pink;Blue;Red ~|~ Red ~|~ Solid 1 Grey ~|~ Solid 10 Yellow ~|~ Solid 12 Multi color ~|~ Solid 13 Blue ~|~ Solid 14 Brown ~|~ Solid 16 Multi color ~|~ Solid 17 Multi color ~|~ Solid 18 Multi color ~|~ Solid 19 Multi color ~|~ Solid 2 Multi color ~|~ Solid 21 Multi color ~|~ Solid 22 Multi color ~|~ Solid 23 Multi color ~|~ Solid 24 Multi color ~|~ Solid 26 Multi color ~|~ Solid 27 Multi color ~|~ Solid 4 Pink ~|~ Solid 5 Multi color ~|~ Solid 7 Multi color ~|~ Solid 8 White ~|~ Solid 9 Grey ~|~ Solid Multi color ~|~ White ~|~ Yellow,Solid 22 Multi color,6cm ~|~ 18cm ~|~ 22cm ~|~ 25cm ~|~ 30cm ~|~ 32cm ~|~ 35cm ~|~ 40cm ~|~ 45cm ~|~ 50cm ~|~ 52 cm ~|~ 52cm ~|~ 55cm ~|~ 60cm ~|~ 65cm,0,"['https://m.media-amazon.com/images/I/41RvfmPTyxL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41RvfmPTyxL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/31OeI8iODbL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/31I0hnRPJmL._SL1500_.jpg']",In stock,2024-08-23T11:09:11Z
HUG 'n' FEEL SOFT TOYS Big Teddy Bear Wearing Happy Birthday with Your Name T-Shirt 5 feet Pink_T Shirt_Happy Birthday with Your Name Plush & Stuffed Toys,"₹1,962.00",https://m.media-amazon.com/images/I/61EtFl4HyVL._SL1280_.jpg,4.1 ,79,https://www.amazon.in/HUG-FEEL-SOFT-TOYS-Shirt_Happy/dp/B08BP9VKJC?th=1,Blue ~|~ Brown ~|~ Brown; Pink; Purple ~|~ Chocolate&Brown ~|~ Cream ~|~ Pink ~|~ Purple ~|~ Red ~|~ White ~|~ White&black ~|~ Yellow,Pink,3 Feet ~|~ 4 Feet ~|~ 5 Feet ~|~ 6 Feet,0,"['https://m.media-amazon.com/images/I/41FmmYwVW0L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41a-0e2AEUL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51nC68cpM6L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51DZQMNah0L._SL1500_.jpg']",In stock,2024-08-23T11:09:53Z
"Panda's Box Mantra Chanting Baby Ganesha (28 CM) | Musical Soft Plush Toy | Best Gift for Infants, Toddlers & Babies",₹988.00,https://m.media-amazon.com/images/I/51FH6vkEJ2L._SX300_SY300_QL70_FMwebp_.jpg,4.5 ,263,https://www.amazon.in/Pandas-Box-Chanting-Musical-Ganesha/dp/B09VDD22XD?th=1,,,,0,"['https://m.media-amazon.com/images/I/51FH6vkEJ2L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/61AQl8Dyy4L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/61sbLDTtBgL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51RPpZGJOpL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41OpSZiet4L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51dfPF7IOfL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41cOSD+59YL._SL1500_.jpg']",In stock,2024-08-23T11:09:57Z
"ToYBULK Teddy Bear, Teddy Bear 6 Feet for Girls, Soft Toys for Girls, Big Teddy Bear, Toys for Girls, Birthday Gift for Girls/Wife/Girlfriend/Husband, (6 Feet, Red)","₹2,250.00",https://m.media-amazon.com/images/I/811yronDHjL._SL1500_.jpg,4.2 ,704,https://www.amazon.in/ToYBULK-Giant-Teddy-Bears-6-Feet/dp/B07R68SC68?th=1,Beige ~|~ Black ~|~ Brown ~|~ Chocolate ~|~ Green ~|~ Panda ~|~ Pink ~|~ Purple ~|~ Red ~|~ Sky-Blue ~|~ SkyBlue ~|~ Yellow,Red,3 Feet ~|~ 4 Feet ~|~ 4 Feet Cap ~|~ 5 Feet ~|~ 6 Feet ~|~ 6.5 Feet ~|~ 7 Feet,0,"['https://m.media-amazon.com/images/I/51FgyBmhJZL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/6192QtNah1L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51QcDBTzAkL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41zymnbNO8L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/61sfEgTSdgL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41astagxreL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/417MiQA83zL._SL1500_.jpg']",In stock,2024-08-23T11:10:01Z
HUG 'n' FEEL SOFT TOYS Teddy Bear 4 Feet Soft Toy | Birthday Gift for Girls Plush & Stuffed Toys,"₹1,099.00",https://m.media-amazon.com/images/I/71oclfTIx3L._SL1500_.jpg,4.0 ,459,https://www.amazon.in/HUG-FEEL-SOFT-TOYS-Boyfriend/dp/B0813P1ZHN?th=1,Beige ~|~ Blue ~|~ Brown ~|~ Grey ~|~ Multicolor ~|~ Pink ~|~ Purple ~|~ Rani pink;Red ~|~ Red ~|~ Turtle ~|~ White ~|~ Yellow,Brown,18 cm ~|~ 18cm ~|~ 25cm ~|~ 35cm ~|~ 40 cm ~|~ 40cm ~|~ 45cm ~|~ 52cm ~|~ 55 cm ~|~ 60cm ~|~ 65 cm ~|~ 91cm ~|~ 100 cm ~|~ 110 cm ~|~ 121cm ~|~ 182cm ~|~ New soft toy,0,"['https://m.media-amazon.com/images/I/41CM2Q39uZL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41CM2Q39uZL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41bwxptMp1L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/41N8NJw83EL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/51DZQMNah0L._SL1500_.jpg']",In stock,2024-08-23T11:10:02Z
